marca,tipo_carroceria,año,kilometraje,tipo_combustible,transmision,cilindrada,potencia,peso,consumo,color,edad_propietarios,calificacion_estado,region_venta,precio
Ford,Hatchback,2015,400000,Gasolina,Automática,2039,93,1690,7.269728943730444,Rojo,1,7.269855149184484,Sur,2400.0
Mercedes-Benz,Sedán,2021,400000,Gasolina,Manual,1606,91,1476,7.5085794105906505,Gris,1,7.224478092708752,Sur,15500.0
Hyundai,Hatchback,2015,400000,Gasolina,Manual,2204,120,1373,8.237119386341366,Azul,2,7.377436245378236,Oeste,2100.0
Nissan,Sedán,2017,400000,Diesel,Automática,1894,96,1191,6.526941401483834,Blanco,4,4.944674717094403,Norte,2600.0
Honda,Hatchback,2020,400000,Gasolina,Automática,1775,80,1139,7.587181541179389,Azul,2,3.025226511901084,Sur,2200.0
Honda,SUV,2015,400000,Híbrido,Automática,1151,80,1334,3.8147741247735363,Rojo,3,8.277780210087606,Norte,5500.0
Toyota,Pickup,2015,400000,Gasolina,Automática,1737,89,1305,6.20442593342432,Rojo,2,3.0950514711574675,Centro,1500.0
Kia,Coupé,2013,400000,Diesel,Manual,1712,99,1255,11.786689943101766,Rojo,1,5.142511207311214,Norte,1500.0
Nissan,SUV,2021,400000,Diesel,Automática,2151,99,1311,8.841219665262377,Plata,2,5.19023166230185,Centro,6500.0
Mazda,SUV,2014,400000,Diesel,Manual,1807,85,1561,9.24573579246211,Plata,3,4.6206311370016735,Oeste,1900.0
Toyota,Hatchback,2020,400000,Híbrido,Automática,3341,186,1725,4.369474852668718,Rojo,1,5.56232059939781,Centro,6400.0
Audi,Sedán,2016,400000,Diesel,Manual,1232,87,1320,6.681621479228293,Rojo,1,8.37141128304382,Centro,7700.0
Kia,Coupé,2019,400000,Híbrido,Manual,1376,80,1415,3.507899628063263,Blanco,2,8.427735411171353,Este,7300.0
Honda,SUV,2020,400000,Gasolina,Manual,1729,104,1185,8.898365833421092,Blanco,4,3.8891835391272953,Oeste,4700.0
Honda,Sedán,2018,400000,Gasolina,Manual,2182,109,1334,6.748919530454338,Gris,3,8.6092957902167,Sur,6000.0
Honda,Pickup,2013,400000,Gasolina,Automática,1836,80,1267,9.471022314472425,Verde,4,3.8894437304952856,Oeste,1300.0
Ford,Sedán,2019,400000,Gasolina,Automática,1693,80,1557,6.93698661449473,Gris,1,8.578352943976313,Este,6100.0
Chevrolet,Sedán,2010,400000,Gasolina,Automática,1402,80,1219,9.511290501202433,Plata,1,5.257315914057207,Centro,800.0
Chevrolet,Hatchback,2015,400000,Gasolina,Automática,2214,105,1485,9.255950912159319,Negro,1,3.4130236079238903,Oeste,1100.0
Honda,Hatchback,2011,400000,Gasolina,Manual,3367,163,1214,12.306517764263502,Blanco,2,9.57274267664357,Este,1700.0
Nissan,Hatchback,2020,400000,Gasolina,Manual,1470,105,1760,6.746858435602597,Gris,1,7.71744497932372,Sur,5200.0
Toyota,Hatchback,2016,400000,Gasolina,Manual,2287,103,1554,7.18287755449736,Verde,2,6.077361051798453,Centro,2400.0
Honda,Sedán,2015,400000,Híbrido,Manual,2784,124,1419,4.720429695769674,Verde,1,3.904050272848501,Oeste,1900.0
Ford,SUV,2018,400000,Gasolina,Automática,2070,121,1610,10.289185371630207,Blanco,1,3.3997104058327285,Oeste,2700.0
Chevrolet,SUV,2015,400000,Diesel,Automática,2169,84,1572,8.192031462885376,Blanco,1,8.115830285711418,Centro,4400.0
Hyundai,Minivan,2023,400000,Gasolina,Manual,1959,102,1525,5.567708354497903,Azul,2,9.589208015301603,Oeste,12100.0
Honda,Sedán,2015,400000,Híbrido,Manual,2894,144,1184,6.445124640055759,Amarillo,2,9.188574637895224,Centro,4300.0
Chevrolet,Sedán,2013,400000,Híbrido,Manual,2399,114,1632,3.405824847085751,Negro,3,6.390976364783559,Este,2000.0
Nissan,Coupé,2021,400000,Diesel,Manual,2569,115,1625,7.997480683458079,Blanco,1,5.073473320527499,Centro,6400.0
Toyota,Minivan,2018,400000,Diesel,Manual,1934,80,1310,6.496335646705017,Azul,2,3.996971785001249,Sur,3000.0
Nissan,Pickup,2012,400000,Gasolina,Automática,2339,126,1525,6.5217062873857055,Verde,1,5.267644748644677,Centro,1400.0
Honda,Sedán,2024,1000,Eléctrico,Manual,1962,114,1000,0.0,Negro,1,8.69249519958569,Oeste,27600.0
Toyota,Hatchback,2010,400000,Híbrido,Automática,2385,109,1045,5.831069933209619,Verde,1,8.068473957322706,Centro,1700.0
Mercedes-Benz,SUV,2020,400000,Híbrido,Manual,1796,87,1392,4.710346765923914,Azul,2,9.568972683113797,Centro,30200.0
Audi,Pickup,2019,400000,Diesel,Manual,2584,112,1599,7.164816953615058,Verde,1,4.341253964063912,Centro,8600.0
Kia,Sedán,2017,400000,Gasolina,Automática,2272,114,1482,10.297800370801081,Azul,2,4.159257041727188,Sur,2000.0
Ford,Sedán,2017,400000,Híbrido,Automática,1770,80,1396,6.086139073096728,Amarillo,2,7.1315132643059655,Sur,4500.0
Toyota,SUV,2024,1000,Gasolina,Manual,2437,124,1434,7.8715827918708365,Negro,1,7.897156102886071,Oeste,23800.0
Mazda,Sedán,2020,400000,Gasolina,Automática,1842,90,1428,6.937314989839946,Blanco,1,5.4880647620533445,Oeste,5200.0
Chevrolet,Hatchback,2010,400000,Gasolina,Manual,1382,80,1260,6.411157797293919,Blanco,1,7.395270414492737,Centro,1000.0
Toyota,Pickup,2018,400000,Híbrido,Manual,1859,94,1549,5.119200661115385,Gris,2,8.377866093127832,Norte,8100.0
Chevrolet,Hatchback,2011,400000,Gasolina,Automática,1864,92,1525,5.068075506987386,Blanco,3,7.99213125050657,Este,1300.0
Toyota,SUV,2015,400000,Gasolina,Automática,1421,80,1764,7.505953106059846,Verde,1,4.484640536070489,Centro,2400.0
BMW,Coupé,2024,1000,Gasolina,Manual,2249,125,1540,4.9324358276089555,Amarillo,1,7.062185209087741,Este,36600.0
Honda,Sedán,2018,400000,Diesel,Manual,2210,108,1865,6.93289911947628,Blanco,3,6.836642779465001,Sur,5100.0
Mazda,Sedán,2022,400000,Diesel,Automática,1992,105,1307,11.453069015198025,Blanco,1,7.25691994689587,Oeste,9600.0
Ford,SUV,2015,400000,Gasolina,Manual,2408,146,1639,7.676757149868854,Gris,2,6.124961443038787,Norte,2900.0
Chevrolet,Sedán,2016,400000,Gasolina,Manual,1817,119,1763,10.597507429678314,Amarillo,1,7.011407051957669,Oeste,3200.0
Nissan,Sedán,2024,1000,Diesel,Automática,1256,80,1138,7.462681885772622,Amarillo,1,5.831564944588588,Sur,13200.0
Honda,SUV,2018,400000,Eléctrico,Automática,1675,94,1169,0.0,Negro,2,8.93603456089378,Centro,12300.0
Audi,Coupé,2014,400000,Diesel,Manual,1584,80,1444,5.355508102255108,Gris,2,4.8102699447137605,Sur,3800.0
Hyundai,Coupé,2010,400000,Gasolina,Automática,1817,95,1513,6.489861852645222,Verde,1,3.6582586425304626,Norte,600.0
Mercedes-Benz,SUV,2018,400000,Híbrido,Automática,2050,119,1801,6.31946308912784,Amarillo,1,4.332484738504874,Centro,9500.0
BMW,Sedán,2019,400000,Gasolina,Automática,3011,161,1299,7.708091920161364,Verde,1,7.829053504413858,Centro,12700.0
Nissan,Sedán,2023,400000,Gasolina,Automática,1231,80,1000,6.339691453859971,Blanco,3,5.130938595142349,Norte,6400.0
Mercedes-Benz,SUV,2022,400000,Gasolina,Automática,2444,137,1455,9.084528862328156,Rojo,1,4.8162253932359285,Oeste,17900.0
Toyota,Sedán,2016,400000,Gasolina,Manual,1498,80,1411,7.804815638676138,Blanco,1,4.861505652092251,Centro,2400.0
Honda,Sedán,2017,400000,Diesel,Manual,2229,115,1493,9.556964099271106,Gris,1,3.4884387313133143,Oeste,2200.0
Toyota,Hatchback,2011,400000,Gasolina,Automática,1681,94,1225,5.478126832952821,Azul,3,9.665122220896778,Este,1800.0
Ford,Hatchback,2014,400000,Gasolina,Automática,2115,117,1042,7.541444170141477,Azul,2,5.415397241710112,Norte,1400.0
Ford,Sedán,2022,400000,Gasolina,Automática,2815,115,1758,8.002598395019996,Amarillo,2,7.511956322971993,Este,9600.0
Honda,Pickup,2017,400000,Gasolina,Automática,1258,80,1530,10.641071108607779,Gris,2,8.088896868408911,Centro,5100.0
Kia,Pickup,2016,400000,Gasolina,Automática,2155,96,1760,9.207427019261905,Plata,1,5.635852718243829,Norte,2700.0
Ford,SUV,2016,400000,Gasolina,Automática,2176,105,1151,5.969570067301722,Verde,2,9.118819105008358,Centro,6000.0
Honda,Sedán,2013,400000,Gasolina,Automática,2511,136,1431,9.116145626518401,Azul,1,7.993186944013781,Norte,2600.0
Nissan,Coupé,2022,400000,Diesel,Automática,2035,105,1565,2.4378752907343646,Rojo,2,3.417195850773262,Oeste,4500.0
Toyota,Hatchback,2011,400000,Diesel,Manual,3721,199,1608,5.668084521337378,Gris,2,8.74181450578832,Sur,1700.0
Kia,Sedán,2019,400000,Diesel,Automática,2592,156,1687,9.384366896872532,Azul,2,4.541264117604549,Sur,3100.0
Toyota,Hatchback,2012,400000,Gasolina,Automática,2315,116,1214,9.167914965988395,Azul,2,5.776844371364527,Norte,1300.0
